CdSecteurH;CdEuMasseD;CNRM_ALAD;CNRM_Had3;EARTH_Had3;EARTH_RAC;EARTH_RCA4;Had2_ALAD;Had2_CCLM4;Had2_Had3;Had2_Reg6;IPSL_HIR5;IPSL_RCA4;MPI_CCLM4;MPI_Reg6;MPI_REMO;Nor_HIR5;Nor_REMO;Nor_WRF;Med_models
Q5;FRFG030;-7.863981411018228;-1.7778444090848833;3.978756879962963;7.217786943311944;-7.662544829720641;7.5569202982573636;-14.700454091534375;-2.484423734895147;-12.924522358494272;-13.691367572480818;-12.889071874780043;-5.532148718806418;12.750360789064974;-2.2141259505167654;-12.35003435691192;-12.674385919524;14.665495445706856;-5.532148718806418
Q5;FRFG031;-6.700211269020762;-1.5610976442930191;4.093187187136693;9.051937293745894;-4.658367348688463;9.137552703421626;-13.13655302190353;-1.405595129602577;-9.964810632232645;-9.60894758591252;-9.478494252969904;-4.307039650153099;15.836459367946263;-0.5671164118990712;-7.526030761087677;-10.46158425686814;14.5151259335754;-4.307039650153099
Q5;FRFG044;-6.217502909215156;1.136831707330943;6.682452920904103;12.413767773509688;-2.902186859483602;10.007645230347295;-15.290226786010862;-1.849205693186906;-9.973835288717405;-13.597015363245024;-13.435468502047476;1.536122177786137;22.18231721032025;4.008712230052303;-17.041477564073404;-11.806728010003564;12.834562814326045;-1.849205693186906
Q5;FRFG050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Q5;FRFG051A;-10.417340043426194;-3.580319399977916;3.1304109876759023;-0.19998056985374155;-7.790442792587438;5.897050795132142;-11.302116826279462;1.3396444830979348;-8.806845136228581;-12.711949354067896;-18.601051265457347;-16.251184629326797;-2.0371070850997763;-4.529650660657747;-11.085365913497805;-9.797121515369078;9.776481118821255;-7.790442792587438
Q5;FRFG051B;-7.619944047977678;-1.998030233356496;4.065582059217965;2.9659732509808023;-6.05922637958356;6.513569804206432;-9.519874097620084;1.7465517955530752;-8.787186556972271;-11.147374217850505;-14.14119951345575;-12.836716882996456;4.620256631354414;-1.9305007807185912;-10.319222647807312;-8.770826492907503;10.37488310890895;-6.05922637958356
Q5;FRFG082C;-5.580248639868746;1.942744884942993;10.814251382660988;14.685398202683883;-2.2165172810210243;7.753460559922076;-13.993560885832734;-1.6994214983718892;-8.746057421379694;-11.645273026323745;-12.1486149995391;-1.236217736887113;23.41798317331685;3.2005346011666935;-14.364086482010086;-11.01506984639624;11.84939984381639;-1.6994214983718892
Q5;FRFG110;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Q6;FRFG031;-6.700211269020828;-1.5610976442930968;4.093187187136449;9.051937293745691;-4.658367348688719;9.137552703422111;-13.136553021903485;-1.4055951296025104;-9.964810632232556;-9.608947585912563;-9.478494252970348;-4.307039650153433;15.83645936794622;-0.5671164118989602;-7.526030761087743;-10.461584256868017;14.51512593357518;-4.307039650153433
Q6;FRFG051A;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Q6;FRFG051B;-7.619944047977246;-1.998030233356607;4.065582059217809;2.96597325098078;-6.0592263795831824;6.513569804206254;-9.519874097620216;1.746551795552964;-8.787186556971838;-11.147374217850292;-14.141199513455929;-12.836716882996168;4.620256631354769;-1.930500780718547;-10.31922264780728;-8.770826492907313;10.374883108908794;-6.0592263795831824
Q7;FRFG030;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
