"GWL","EXP","GCM","RCM","BC","HM","SH","deltaRecharge"
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","A6",1.39671826361172
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","A6",1.15498856395739
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","A6",-1.80191470740267
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","A6",-1.10917921667709
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","A6",10.493218518281
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","A6",8.92241101019129
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","A6",18.8956943991864
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","A6",-6.29504089598852
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","A6",1.27685875220394
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","A6",-5.09504421119322
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","A7",23.057163302006
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","A7",10.273472699047
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","A7",6.30076421137691
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","A7",18.978278460001
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","A7",2.49797281212434
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","A7",2.78080078837988
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","A7",9.59544149081304
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","A7",2.33796576537264
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","A7",-2.32666496262885
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","A7",-3.96250815701561
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","A7",-1.72030718198231
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","A7",13.5689349496113
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","A7",4.87799267528
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","A7",15.6675481211156
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","A7",-4.28748988891162
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","A7",0.614736337007349
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","A7",-7.94329065094725
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","A8",22.2106528633424
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","A8",8.44892189621325
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","A8",6.55998953733417
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","A8",17.5029284025856
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","A8",3.06201772922086
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","A8",2.5633914965872
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","A8",9.55426672979422
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","A8",2.36161025062189
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","A8",-1.20935604721004
