ZH,Variable,Saison,NivRechauf,GCM,RCM,delta,surface
A2,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.47897570915539,2952.76
A5,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.53000861901969,1929.62
A4,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.49049312110037,1783.78
Q9,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.07588730207232,1028.41
A7,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.51281770292269,2670.23
A6,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.44920060596369,3091.91
Q8,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.00372407218309,1082.74
I1,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.17543963166745,1809.45
I0,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.25885288962571,1308.03
I3,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.07383325164295,543.24
I2,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.23699874409419,2970.59
I5,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,1.92778276346291,1468.12
I4,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.07024299619057,2069.33
I7,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.04785897621774,1113.63
I6,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,1.94028876099721,1261.29
M1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.32714401781595,8294.27
M0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.29003864014094,7963.25
M3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.10440286863001,5837.92
M2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.13001667089449,20.6
U4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.39337534733164,4014.05
U1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.42433641196358,5793
U0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.38510457231857,6186.06
U3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.32015546922706,5720.16
U2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.32719479467313,7728.47
L4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.41182110799426,3884.86
L3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.2426315887536,818.31
L6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.26515395255772,1772
L5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.34607493824245,3912.9
L8,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.20779436796132,3666.97
L7,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.22355907252232,1311.67
D0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.09276844973327,1133.29
L9,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.19045783092233,1483.68
L0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.42915908564323,4402.03
L2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.25527250779511,3217.75
L1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.2870055914259,1840.6
K3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.4547195574198,5604.72
K2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.46885954542923,8744.54
K5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.46913755269954,6822.06
K4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.35865619082882,10007.58
K7,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.33644727787426,3446.26
K6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.34472351296968,7121.46
O1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.35326294407973,4131.8
O0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.24844026760603,5818.12
O3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.63671164482641,5301.03
O2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.12994490440601,5193.2
O5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.51854491552798,5960.67
O4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.44179260688537,4490.53
F6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.34586122624366,7320.53
W1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,3.01818728209255,3063.94
F5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.35618874449582,5514.57
W0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,3.0320645774497,2711.46
W3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.42245241148455,2497.41
W2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,3.0535103039676,3619.5
F7,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.23448398594475,1105.04
N6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.08732029377294,770.63
N5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.12932118517105,403.72
N8,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.01427930874529,1300.74
N7,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.11191507836939,590.11
F0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.39115583231734,3971.64
F2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.35213633202211,1712.15
F1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.36412820708851,4595.06
F4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.36189149111764,9621.44
F3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.41953044262599,10835.87
N0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.90627768591808,1074.69
N2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.96463710700178,619.39
N1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.98841562291155,752.6
N4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.20007959934208,1215.52
